scheduling process 3, rbi 68174034, rtime 0, wtime 0, stime 62
scheduling process 11, rbi 80, rtime 41, wtime 21, stime 0
scheduling process 3, rbi 68174034, rtime 0, wtime 0, stime 62
scheduling process 12, rbi 68174034, rtime 0, wtime 62, stime 0
scheduling process 4, rbi 67108814, rtime 0, wtime 30, stime 34
scheduling process 13, rbi 68174034, rtime 2, wtime 62, stime 0
scheduling process 5, rbi 66076370, rtime 0, wtime 32, stime 32
scheduling process 6, rbi 66076370, rtime 0, wtime 32, stime 32
scheduling process 7, rbi 66076370, rtime 0, wtime 32, stime 32
scheduling process 8, rbi 66076370, rtime 0, wtime 32, stime 32
scheduling process 12, rbi 67108814, rtime 1, wtime 63, stime 0
scheduling process 4, rbi 65075212, rtime 0, wtime 31, stime 35
scheduling process 13, rbi 66076376, rtime 4, wtime 62, stime 0
scheduling process 5, rbi 64103940, rtime 0, wtime 33, stime 33
scheduling process 6, rbi 64103940, rtime 0, wtime 33, stime 33
scheduling process 7, rbi 64103940, rtime 0, wtime 33, stime 33
scheduling process 8, rbi 64103940, rtime 0, wtime 33, stime 33
scheduling process 12, rbi 65075215, rtime 2, wtime 64, stime 0
scheduling process 4, rbi 63161234, rtime 0, wtime 32, stime 36
scheduling process 13, rbi 64103952, rtime 6, wtime 62, stime 0
scheduling process 5, rbi 62245853, rtime 0, wtime 34, stime 34
scheduling process 6, rbi 62245853, rtime 0, wtime 34, stime 34
scheduling process 7, rbi 62245853, rtime 0, wtime 34, stime 34
scheduling process 8, rbi 62245853, rtime 0, wtime 34, stime 34
scheduling process 12, rbi 64103946, rtime 4, wtime 64, stime 0
scheduling process 4, rbi 63161234, rtime 0, wtime 32, stime 37
scheduling process 5, rbi 60492447, rtime 0, wtime 35, stime 35
scheduling process 13, rbi 62245870, rtime 8, wtime 62, stime 0
scheduling process 4, rbi 60492447, rtime 0, wtime 32, stime 38
scheduling process 6, rbi 60492447, rtime 0, wtime 35, stime 35
scheduling process 7, rbi 60492447, rtime 0, wtime 35, stime 35
scheduling process 8, rbi 60492447, rtime 0, wtime 35, stime 35
scheduling process 12, rbi 62245865, rtime 7, wtime 64, stime 0
scheduling process 4, rbi 59652274, rtime 0, wtime 33, stime 39
scheduling process 5, rbi 58835119, rtime 0, wtime 36, stime 36
scheduling process 13, rbi 60492470, rtime 10, wtime 62, stime 0
scheduling process 6, rbi 58835119, rtime 0, wtime 36, stime 36
scheduling process 7, rbi 58835119, rtime 0, wtime 36, stime 36
scheduling process 8, rbi 58835119, rtime 0, wtime 36, stime 36
scheduling process 13, rbi 58835146, rtime 11, wtime 62, stime 0
scheduling process 5, rbi 57266181, rtime 0, wtime 37, stime 37
scheduling process 4, rbi 58040049, rtime 0, wtime 34, stime 40
scheduling process 12, rbi 58835138, rtime 9, wtime 65, stime 0
scheduling process 6, rbi 57266181, rtime 0, wtime 37, stime 37
scheduling process 7, rbi 57266181, rtime 0, wtime 37, stime 37
scheduling process 8, rbi 57266181, rtime 0, wtime 37, stime 37
scheduling process 12, rbi 57266205, rtime 10, wtime 65, stime 0
scheduling process 5, rbi 55778746, rtime 0, wtime 38, stime 38
scheduling process 4, rbi 56512678, rtime 0, wtime 35, stime 41
scheduling process 13, rbi 57266210, rtime 13, wtime 63, stime 0
scheduling process 6, rbi 55778746, rtime 0, wtime 38, stime 38
scheduling process 7, rbi 55778746, rtime 0, wtime 38, stime 38
scheduling process 8, rbi 55778746, rtime 0, wtime 38, stime 38
scheduling process 12, rbi 55778772, rtime 11, wtime 66, stime 0
scheduling process 4, rbi 55063633, rtime 0, wtime 35, stime 42
scheduling process 5, rbi 54366625, rtime 0, wtime 39, stime 39
scheduling process 13, rbi 55778780, rtime 15, wtime 63, stime 0
scheduling process 4, rbi 54366625, rtime 0, wtime 35, stime 43
scheduling process 6, rbi 54366625, rtime 0, wtime 39, stime 39
scheduling process 7, rbi 54366625, rtime 0, wtime 39, stime 39
scheduling process 8, rbi 54366625, rtime 0, wtime 39, stime 39
scheduling process 13, rbi 54366663, rtime 16, wtime 63, stime 0
scheduling process 5, rbi 53024238, rtime 0, wtime 40, stime 40
scheduling process 4, rbi 53687041, rtime 0, wtime 36, stime 44
scheduling process 12, rbi 54366653, rtime 13, wtime 67, stime 0
scheduling process 6, rbi 53024238, rtime 0, wtime 40, stime 40
scheduling process 7, rbi 53024238, rtime 0, wtime 40, stime 40
scheduling process 8, rbi 53024238, rtime 0, wtime 40, stime 40
scheduling process 12, rbi 53024270, rtime 14, wtime 67, stime 0
scheduling process 5, rbi 51746544, rtime 0, wtime 41, stime 41
scheduling process 4, rbi 52377600, rtime 0, wtime 37, stime 45
scheduling process 13, rbi 53024277, rtime 18, wtime 64, stime 0
scheduling process 6, rbi 51746544, rtime 0, wtime 41, stime 41
scheduling process 7, rbi 51746544, rtime 0, wtime 41, stime 41
scheduling process 8, rbi 51746544, rtime 0, wtime 41, stime 41
scheduling process 4, rbi 51130513, rtime 0, wtime 37, stime 46
scheduling process 12, rbi 51746578, rtime 15, wtime 68, stime 0
scheduling process 4, rbi 50528977, rtime 0, wtime 37, stime 47
scheduling process 5, rbi 50528977, rtime 0, wtime 42, stime 42
scheduling process 6, rbi 50528977, rtime 0, wtime 42, stime 42
scheduling process 13, rbi 51746587, rtime 20, wtime 64, stime 0
scheduling process 7, rbi 50528977, rtime 0, wtime 42, stime 42
scheduling process 8, rbi 50528977, rtime 0, wtime 42, stime 42
scheduling process 12, rbi 50529012, rtime 16, wtime 69, stime 0
scheduling process 5, rbi 49367390, rtime 0, wtime 43, stime 43
scheduling process 4, rbi 50528977, rtime 0, wtime 38, stime 48
scheduling process 13, rbi 50529024, rtime 22, wtime 64, stime 0
scheduling process 6, rbi 49367390, rtime 0, wtime 43, stime 43
scheduling process 7, rbi 49367390, rtime 0, wtime 43, stime 43
scheduling process 8, rbi 49367390, rtime 0, wtime 43, stime 43
scheduling process 13, rbi 50529024, rtime 23, wtime 64, stime 0
scheduling process 4, rbi 50528977, rtime 0, wtime 39, stime 49
scheduling process 12, rbi 49367427, rtime 18, wtime 70, stime 0
scheduling process 5, rbi 48258010, rtime 0, wtime 44, stime 44
scheduling process 6, rbi 48258010, rtime 0, wtime 44, stime 44
scheduling process 7, rbi 48258010, rtime 0, wtime 44, stime 44
scheduling process 8, rbi 48258010, rtime 0, wtime 44, stime 44
scheduling process 13, rbi 50529024, rtime 24, wtime 65, stime 0
scheduling process 4, rbi 50528977, rtime 0, wtime 40, stime 50
scheduling process 12, rbi 48258050, rtime 20, wtime 70, stime 0
scheduling process 5, rbi 47197393, rtime 0, wtime 45, stime 45
scheduling process 6, rbi 47197393, rtime 0, wtime 45, stime 45
scheduling process 7, rbi 47197393, rtime 0, wtime 45, stime 45
scheduling process 8, rbi 47197393, rtime 0, wtime 45, stime 45
scheduling process 4, rbi 50528977, rtime 0, wtime 40, stime 51
scheduling process 13, rbi 50529024, rtime 25, wtime 66, stime 0
scheduling process 12, rbi 47197437, rtime 22, wtime 70, stime 0
scheduling process 4, rbi 46182394, rtime 0, wtime 40, stime 52
scheduling process 5, rbi 46182394, rtime 0, wtime 46, stime 46
scheduling process 6, rbi 46182394, rtime 0, wtime 46, stime 46
scheduling process 7, rbi 46182394, rtime 0, wtime 46, stime 46
scheduling process 8, rbi 46182394, rtime 0, wtime 46, stime 46
scheduling process 4, rbi 45691091, rtime 0, wtime 40, stime 53
scheduling process 13, rbi 50529024, rtime 26, wtime 67, stime 0
scheduling process 12, rbi 46182441, rtime 24, wtime 70, stime 0
scheduling process 4, rbi 45210132, rtime 0, wtime 40, stime 54
scheduling process 5, rbi 45210132, rtime 0, wtime 47, stime 47
scheduling process 6, rbi 45210132, rtime 0, wtime 47, stime 47
scheduling process 7, rbi 45210132, rtime 0, wtime 47, stime 47
scheduling process 8, rbi 45210132, rtime 0, wtime 47, stime 47
scheduling process 4, rbi 44739193, rtime 0, wtime 40, stime 55
scheduling process 13, rbi 50529024, rtime 27, wtime 68, stime 0
